"","W1Q50","COHORT","Bullied","W1Q52","W1Q53"
"1",48,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"2",17,"(2) Middle",1,"(4) Out to a few people at school","(2) Agree"
"3",NA,"(2) Middle",1,"(5) Out to no one at school","(3) Disagree"
"4",17,"(1) Younger",1,"(2) Out to most people at school","(2) Agree"
"5",NA,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"6",16,"(1) Younger",3,"(2) Out to most people at school","(2) Agree"
"7",27,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"8",19,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"9",15,"(1) Younger",1,"(4) Out to a few people at school","(3) Disagree"
"10",19,"(2) Middle",4,"(4) Out to a few people at school","(3) Disagree"
"11",8,"(1) Younger",1,"(5) Out to no one at school","(2) Agree"
"12",30,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"13",26,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"14",17,"(1) Younger",4,"(2) Out to most people at school","(2) Agree"
"15",NA,"(1) Younger",1,"(3) Out to some people at school","(4) Disagree strongly"
"16",19,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"17",18,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"18",26,"(2) Middle",1,"(4) Out to a few people at school","(1) Agree strongly"
"19",NA,"(2) Middle",2,"(5) Out to no one at school","(3) Disagree"
"20",33,"(3) Older",4,"(4) Out to a few people at school","(2) Agree"
"21",19,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"22",45,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"23",39,"(3) Older",3,"(5) Out to no one at school","(2) Agree"
"24",16,"(2) Middle",3,"(1) Out to everyone at school","(3) Disagree"
"25",22,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"26",40,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"27",18,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"28",NA,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"29",19,"(1) Younger",4,"(4) Out to a few people at school","(3) Disagree"
"30",NA,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"31",26,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"32",15,"(1) Younger",1,"(1) Out to everyone at school","(3) Disagree"
"33",17,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"34",15,"(1) Younger",4,"(2) Out to most people at school","(2) Agree"
"35",16,"(1) Younger",1,"(1) Out to everyone at school","(2) Agree"
"36",21,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"37",20,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"38",15,"(1) Younger",4,"(1) Out to everyone at school","(1) Agree strongly"
"39",NA,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"40",21,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"41",NA,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"42",NA,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"43",18,"(1) Younger",4,"(4) Out to a few people at school","(3) Disagree"
"44",30,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"45",24,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"46",NA,"(3) Older",4,"(3) Out to some people at school",NA
"47",19,"(2) Middle",1,"(4) Out to a few people at school","(2) Agree"
"48",NA,"(1) Younger",4,"(5) Out to no one at school","(4) Disagree strongly"
"49",17,"(1) Younger",1,"(4) Out to a few people at school","(1) Agree strongly"
"50",15,"(1) Younger",4,"(3) Out to some people at school","(3) Disagree"
"51",23,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"52",19,"(1) Younger",2,"(5) Out to no one at school","(4) Disagree strongly"
"53",21,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"54",NA,"(1) Younger",1,"(5) Out to no one at school","(2) Agree"
"55",20,"(1) Younger",2,"(5) Out to no one at school","(3) Disagree"
"56",20,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"57",15,"(3) Older",2,"(5) Out to no one at school","(1) Agree strongly"
"58",18,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"59",21,"(1) Younger",2,"(5) Out to no one at school","(2) Agree"
"60",23,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"61",19,"(2) Middle",2,"(1) Out to everyone at school","(1) Agree strongly"
"62",17,"(1) Younger",4,"(4) Out to a few people at school","(3) Disagree"
"63",18,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"64",18,"(2) Middle",2,"(1) Out to everyone at school","(2) Agree"
"65",NA,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"66",17,"(3) Older",3,"(5) Out to no one at school","(2) Agree"
"67",19,"(1) Younger",1,"(1) Out to everyone at school","(1) Agree strongly"
"68",14,"(1) Younger",1,"(1) Out to everyone at school","(3) Disagree"
"69",24,"(1) Younger",4,"(5) Out to no one at school","(4) Disagree strongly"
"70",NA,"(1) Younger",3,"(3) Out to some people at school","(2) Agree"
"71",30,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"72",NA,"(2) Middle",4,"(5) Out to no one at school","(1) Agree strongly"
"73",NA,"(1) Younger",2,"(5) Out to no one at school","(3) Disagree"
"74",55,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"75",22,"(1) Younger",2,"(5) Out to no one at school","(2) Agree"
"76",17,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"77",13,"(1) Younger",4,"(1) Out to everyone at school","(1) Agree strongly"
"78",17,"(3) Older",1,"(4) Out to a few people at school","(2) Agree"
"79",19,"(2) Middle",2,"(5) Out to no one at school","(3) Disagree"
"80",22,"(1) Younger",2,"(5) Out to no one at school","(3) Disagree"
"81",23,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"82",20,"(3) Older",1,"(5) Out to no one at school","(1) Agree strongly"
"83",NA,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"84",20,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"85",15,"(1) Younger",3,"(4) Out to a few people at school","(2) Agree"
"86",14,"(1) Younger",2,"(1) Out to everyone at school","(2) Agree"
"87",23,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"88",22,"(3) Older",2,"(4) Out to a few people at school","(2) Agree"
"89",17,"(3) Older",2,"(4) Out to a few people at school","(3) Disagree"
"90",21,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"91",NA,"(1) Younger",1,"(4) Out to a few people at school","(2) Agree"
"92",NA,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"93",28,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"94",14,"(1) Younger",2,"(2) Out to most people at school","(1) Agree strongly"
"95",18,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"96",23,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"97",NA,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"98",21,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"99",21,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"100",20,"(1) Younger",4,"(3) Out to some people at school","(2) Agree"
"101",16,"(1) Younger",1,"(2) Out to most people at school","(1) Agree strongly"
"102",22,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"103",21,"(2) Middle",2,"(5) Out to no one at school","(2) Agree"
"104",NA,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"105",18,"(1) Younger",2,"(1) Out to everyone at school","(4) Disagree strongly"
"106",22,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"107",32,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"108",19,"(2) Middle",4,"(5) Out to no one at school","(1) Agree strongly"
